doc_id,county_fips,profile_json,created_at_utc
8963ad91-b64a-42dc-a812-6060227d6f29,53055,"{""name"": {""first"": ""Sara"", ""last"": ""Lopez""}, ""demographics"": {""dob"": ""1951-12-07"", ""sex"": ""X"", ""race"": ""Asian"", ""ethnicity"": ""Non-Hispanic""}, ""household"": {""hh_id"": ""38458534-70f7-4b31-8773-cb0f7a52b031"", ""hh_size"": 2, ""income_usd"": 50028}, ""location"": {""street"": ""30086 Jones Field"", ""city"": ""Williamhaven"", ""state"": ""WA"", ""zip"": ""98610""}, ""residency"": {""active_status"": true, ""moved_in_date"": ""2021-04-18"", ""move_out_date"": null, ""death_date"": null, ""last_verified_date"": ""2023-12-22"", ""verification_source"": ""Other""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
3b459e77-81d0-4b34-bac3-d91c0ada1dbd,53055,"{""name"": {""first"": ""Marc"", ""last"": ""Salas""}, ""demographics"": {""dob"": ""1932-04-12"", ""sex"": ""X"", ""race"": ""Pacific"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""268fc566-ee35-4d37-a4d0-19c4ed4db53a"", ""hh_size"": 2, ""income_usd"": 141020}, ""location"": {""street"": ""7482 Cervantes Common"", ""city"": ""South Donna"", ""state"": ""WA"", ""zip"": ""99866""}, ""residency"": {""active_status"": true, ""moved_in_date"": ""2023-12-26"", ""move_out_date"": null, ""death_date"": null, ""last_verified_date"": ""2025-11-30"", ""verification_source"": ""Medicaid""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
34462dd2-097f-4a45-a187-c2568f6ac00e,53055,"{""name"": {""first"": ""Michael"", ""last"": ""Fowler""}, ""demographics"": {""dob"": ""1933-03-03"", ""sex"": ""X"", ""race"": ""Other"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""5bd805aa-64e8-4c49-938d-9e28cc306e32"", ""hh_size"": 1, ""income_usd"": 93896}, ""location"": {""street"": ""13526 Michelle Fork"", ""city"": ""New Danielmouth"", ""state"": ""WA"", ""zip"": ""99147""}, ""residency"": {""active_status"": true, ""moved_in_date"": ""2022-04-21"", ""move_out_date"": null, ""death_date"": null, ""last_verified_date"": ""2026-01-23"", ""verification_source"": ""Other""}, ""employment"": {""employment_status"": ""Employed"", ""has_job"": true}}",2026-02-23 05:57:18+00:00
0f7a1a41-9c7a-4fd4-b1d7-d7e141667f71,53055,"{""name"": {""first"": ""James"", ""last"": ""Beasley""}, ""demographics"": {""dob"": ""1998-05-01"", ""sex"": ""X"", ""race"": ""Other"", ""ethnicity"": ""Non-Hispanic""}, ""household"": {""hh_id"": ""d06d0f18-b2fd-4de6-89f7-91ae491a899c"", ""hh_size"": 2, ""income_usd"": 162288}, ""location"": {""street"": ""691 Nelson Walk"", ""city"": ""South Amystad"", ""state"": ""WA"", ""zip"": ""99772""}, ""residency"": {""active_status"": false, ""moved_in_date"": ""2019-11-07"", ""move_out_date"": ""2023-02-27"", ""death_date"": null, ""last_verified_date"": ""2023-08-16"", ""verification_source"": ""Other""}, ""employment"": {""employment_status"": ""Employed"", ""has_job"": true}}",2026-02-23 05:57:18+00:00
84c9d169-6437-4cd0-a666-2e99a8f7d05c,53055,"{""name"": {""first"": ""Rebecca"", ""last"": ""Prince""}, ""demographics"": {""dob"": ""2001-07-22"", ""sex"": ""F"", ""race"": ""TwoOrMore"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""f3e292b4-72cd-46a2-a386-1a87e14f4ff8"", ""hh_size"": 1, ""income_usd"": 136204}, ""location"": {""street"": ""436 Thomas Knoll"", ""city"": ""Hayesview"", ""state"": ""WA"", ""zip"": ""98565""}, ""residency"": {""active_status"": true, ""moved_in_date"": ""2023-01-17"", ""move_out_date"": null, ""death_date"": null, ""last_verified_date"": ""2023-08-16"", ""verification_source"": ""Medicaid""}, ""employment"": {""employment_status"": ""Employed"", ""has_job"": true}}",2026-02-23 05:57:18+00:00
d32dda58-002e-4036-b222-754082dec4b3,53055,"{""name"": {""first"": ""Vincent"", ""last"": ""Smith""}, ""demographics"": {""dob"": ""2006-04-14"", ""sex"": ""X"", ""race"": ""Black"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""b8c5c210-f849-4c9c-b178-8fbc59e551c1"", ""hh_size"": 1, ""income_usd"": 54020}, ""location"": {""street"": ""619 Bray Oval Apt. 900"", ""city"": ""North Suzannestad"", ""state"": ""WA"", ""zip"": ""99238""}, ""residency"": {""active_status"": false, ""moved_in_date"": ""2024-11-24"", ""move_out_date"": ""2025-07-08"", ""death_date"": null, ""last_verified_date"": ""2025-04-05"", ""verification_source"": ""Other""}, ""employment"": {""employment_status"": ""Employed"", ""has_job"": true}}",2026-02-23 05:57:18+00:00
609c33d8-c50e-4ee3-9b92-ddb8f945bba7,53055,"{""name"": {""first"": ""Laura"", ""last"": ""Jackson""}, ""demographics"": {""dob"": ""1946-07-23"", ""sex"": ""F"", ""race"": ""Black"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""0f196d28-da13-4cd0-93a2-e22da01a7d7b"", ""hh_size"": 3, ""income_usd"": 125083}, ""location"": {""street"": ""2359 Alyssa Harbors"", ""city"": ""Port Michelle"", ""state"": ""WA"", ""zip"": ""99297""}, ""residency"": {""active_status"": false, ""moved_in_date"": ""2019-04-21"", ""move_out_date"": ""2021-12-10"", ""death_date"": null, ""last_verified_date"": ""2024-08-10"", ""verification_source"": ""DMV""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
d33af9e7-4334-48a0-998a-ae0ac0f38015,53055,"{""name"": {""first"": ""Christopher"", ""last"": ""Rodriguez""}, ""demographics"": {""dob"": ""1933-05-05"", ""sex"": ""M"", ""race"": ""Native"", ""ethnicity"": ""Non-Hispanic""}, ""household"": {""hh_id"": ""0988a787-caba-4237-b419-0b40a80c72a9"", ""hh_size"": 4, ""income_usd"": 82177}, ""location"": {""street"": ""5962 Miller Row Apt. 816"", ""city"": ""West Melissa"", ""state"": ""WA"", ""zip"": ""99492""}, ""residency"": {""active_status"": false, ""moved_in_date"": ""2017-06-14"", ""move_out_date"": null, ""death_date"": ""2017-06-15"", ""last_verified_date"": ""2024-12-27"", ""verification_source"": ""VoterReg""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
c7c72412-4f30-42f9-8ed0-bbb51491ec76,53055,"{""name"": {""first"": ""Michael"", ""last"": ""Smith""}, ""demographics"": {""dob"": ""1963-08-14"", ""sex"": ""F"", ""race"": ""Native"", ""ethnicity"": ""Non-Hispanic""}, ""household"": {""hh_id"": ""c4dde1e7-41ac-41dd-9dce-063eeae6ce4b"", ""hh_size"": 2, ""income_usd"": 53171}, ""location"": {""street"": ""02110 Chavez Lodge Apt. 551"", ""city"": ""Danielport"", ""state"": ""WA"", ""zip"": ""99970""}, ""residency"": {""active_status"": false, ""moved_in_date"": ""2023-12-18"", ""move_out_date"": null, ""death_date"": ""2025-03-03"", ""last_verified_date"": ""2025-03-25"", ""verification_source"": ""Census""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
c2cb5462-3572-4e29-9fc8-d0f158925257,53055,"{""name"": {""first"": ""Christopher"", ""last"": ""Donaldson""}, ""demographics"": {""dob"": ""2007-05-22"", ""sex"": ""M"", ""race"": ""Asian"", ""ethnicity"": ""Hispanic""}, ""household"": {""hh_id"": ""c85db182-e946-4fc0-879d-84faac176aa0"", ""hh_size"": 3, ""income_usd"": 97585}, ""location"": {""street"": ""22298 Mitchell Course Suite 842"", ""city"": ""South Robert"", ""state"": ""WA"", ""zip"": ""99811""}, ""residency"": {""active_status"": true, ""moved_in_date"": ""2021-07-01"", ""move_out_date"": null, ""death_date"": null, ""last_verified_date"": ""2026-01-13"", ""verification_source"": ""Utility""}, ""employment"": {""employment_status"": ""NotInLaborForce"", ""has_job"": false}}",2026-02-23 05:57:18+00:00
