address_id,street,city,state,zip
775b7779-ad65-4015-a1c4-5658c52cc5a4,60181 Aguilar Parkways Apt. 016,Jonesland,WA,98404
c9ec2776-1e53-46a2-a4f9-66574153718e,960 Brandon Walks,West Robert,WA,99060
eb77a088-82a4-4d43-9713-e86545f04d31,8657 Ward Gateway,Lake Kimberly,WA,98476
7feebcb9-e5cc-469e-88fb-06467122bb9d,0189 Peterson Keys Suite 971,West Thomasland,WA,98860
c0409bce-2c25-494f-8da7-3a832f7e93a0,75291 Brown Trafficway Suite 236,Rangelfort,WA,98132
2d406c01-8ff3-4b1f-8a3f-9d23f83adf2a,465 Rosario Drive Apt. 223,North Todd,WA,99980
9b00e9dc-b22d-4877-96cc-061f09004f4b,8666 Garcia Roads,Brownland,WA,99166
29ec8a3c-ea7f-4453-8beb-611bfb66c465,013 Hernandez Glen Suite 957,North Melindamouth,WA,99125
76ea4185-7b09-42f1-bbad-cfe3a957f6b5,85280 Good Way,Lake Meganhaven,WA,98530
c3c44662-d9f7-421e-bc0b-0a9e4ff4c304,63387 Simon Burgs,Thomasborough,WA,99827
718665fb-8ca4-4b53-a72c-c1a43706d815,1313 Gonzalez Ford Suite 990,Blankenshipstad,WA,99931
e7c68780-a1b0-45c4-8e1c-b2e8361be00d,5167 Paul Corner,East Victoria,WA,98154
b9b737d2-0093-458b-8f4e-2ba3f5529aa8,528 Andrew Union Apt. 826,Port Morgan,WA,98444
def0d065-e1c9-42c1-86f1-2ece8f14a802,288 Monique Trail,New Adam,WA,98254
511ab612-25f1-4704-9906-c74c1dcd6ec1,780 Scott Ridge,Lake Joshua,WA,98259
ca3a735c-f09b-4ea8-8e41-e46482083cbf,372 Martinez Mills Suite 136,East Elizabethville,WA,98431
8db052e7-35b5-4e7b-8fa0-88eab0cb1976,2731 Dyer Estates,East Jasmine,WA,98524
cfac608b-ee45-40bd-851a-f3660c1bd39e,113 Christopher Groves Apt. 242,Atkinsonview,WA,98622
d7864b47-1c62-4ca6-8e80-656dc44761ed,141 Carl Wall,South Alexanderside,WA,98750
816550ee-a484-45e9-934c-148af1eb0c2e,347 Joseph Unions Apt. 400,Lake Williamborough,WA,98709
4c0f166e-88c5-425d-9fa7-b1b622334142,5020 Colleen Glens,Martinland,WA,99782
fb4fdd8f-ef2a-4d15-a897-39323f153bd5,8530 Robinson Falls Apt. 561,Ramirezborough,WA,98642
bd05440c-5f0b-45a9-a290-432f6edc3464,9060 Torres Fort,New Susanberg,WA,98763
08f23ba1-bad5-4f2e-ab1a-76b95b208901,86828 Margaret Prairie,North Anthony,WA,98012
dc365830-03b6-4a2b-9454-0f178cbeb9f5,083 Baker Motorway,Lake Sarahside,WA,98915
a9c09319-5a05-460b-b32e-0b80e6e568ad,77617 Wang Ridges,North Carol,WA,98908
8f85c1a1-2471-4d26-8ff4-962dc76003eb,8477 Wang Plaza Apt. 417,West Stephenhaven,WA,98874
110e254f-bd7b-448a-9705-b7c9159967ad,845 Carrie Roads,Oliviastad,WA,99629
aefa8504-9572-455b-8f66-3d1315165251,7642 Cooper Island,Port Markmouth,WA,99671
c1b92725-2cbc-4928-9df1-2567b2a202c7,41042 Tasha Mews Suite 356,Port Kathleenfurt,WA,98277
96fc7613-0acf-47df-917f-f0e447fef6e4,679 Deanna Heights,Williamsside,WA,99000
6fa9f57b-1055-4482-9209-dcac96cac1e4,3478 Wilson Row Apt. 138,Piercemouth,WA,98564
61f55565-1289-4f19-9b24-bfc7e71cd011,12581 Allen Green,North Kara,WA,98072
9d85844e-8260-41b8-ae3a-6904c36668ed,88314 Patrick Rue Suite 640,North Ronald,WA,99906
0fa1bbff-b52a-4612-891d-8a21a1882a9d,8773 Jeffrey Drive,Port Jennifermouth,WA,98816
c49d2d4c-c370-4cbd-891f-73234107521c,486 Cory Hills,South Jose,WA,99932
faca2dc3-1fc8-4eb6-b376-73f61e320783,4003 Dyer Rue,Millerbury,WA,99978
e81377a0-4b4b-4501-8920-e19f3e3f0f5a,656 Adam Highway Apt. 373,Katieborough,WA,98372
a615065a-a669-411d-8983-58c95c575a50,0309 Robert Station,East Phillipmouth,WA,98845
b3f2c600-0f53-44ab-aa5f-a05d37a59ad2,6557 Daniel Common,Christopherchester,WA,98524
994c4d2f-c4f8-43f7-97ab-f2f0979a3e32,6107 Nathan Mission Apt. 557,Lake Robertfurt,WA,98639
465d4f9d-06e3-4e5b-91f8-b5b9fcc25595,19554 Rosario Ridges Apt. 454,Adamland,WA,98300
e8d632d1-b2f5-42c0-9e7b-bbdbce7d481e,6727 Alan Streets Suite 293,Michellemouth,WA,98334
